sentence_id;raw;correct;type;correct_indexes
;В ближайшие два года (1) может быть (2) осуществлено строительство платной автотрассы между Москвой и Санкт-Петербургом. Ширина проезжей части дороги (3) по мнению инженеров (4) будет достаточной для самого большого транспортного потока.;В ближайшие два года может быть осуществлено строительство платной автотрассы между Москвой и Санкт-Петербургом. Ширина проезжей части дороги, по мнению инженеров, будет достаточной для самого большого транспортного потока.;18;['(3)', '(4)']
36;В возникавших на несколько секунд (1) «тоннелях» (2) проделанных фарами редких машин (3) ему удавалось иногда разглядеть поздних прохожих целиком, и тогда перед ним возникали то (4) неспешно идущая (5) пара, то (6) сидевший на скамейке (7) старик (8) положивший ладони на колени.;В возникавших на несколько секунд «тоннелях», проделанных фарами редких машин, ему удавалось иногда разглядеть поздних прохожих целиком, и тогда перед ним возникали то неспешно идущая пара, то сидевший на скамейке старик, положивший ладони на колени.;17;['(2)', '(3)', '(8)']
37;В воображении теснились самые разные замыслы (1) и (2) если писатель усилием воли заставлял себя останавливаться на чём-то одном (3) то он опять забывал (4) каким должно быть начало.;В воображении теснились самые разные замыслы, и если писатель усилием воли заставлял себя останавливаться на чём-то одном, то он опять забывал, каким должно быть начало.;20;['(1)', '(3)', '(4)']
38;В Греции классической эпохи (1) для социального строя (2) которой (3) типична форма города-государства (4) возникли особо благоприятные условия для расцвета ораторского искусства.;В Греции классической эпохи, для социального строя которой типична форма города-государства, возникли особо благоприятные условия для расцвета ораторского искусства.;19;['(1)', '(4)']
39;"В его сухом лице видна постоянная озабоченность (1) что не удивительно для человека с оравой детей; при этом он очень добродушен (2) и (3) если видит (4) что мне хочется с ним поболтать (5) готов отложить любую работу (6) и разговаривать со мной час и два.";"В его сухом лице видна постоянная озабоченность, что не удивительно для человека с оравой детей; при этом он очень добродушен и, если видит, что мне хочется с ним поболтать, готов отложить любую работу и разговаривать со мной час и два.";20;['(1)', '(3)', '(4)', '(5)']
40;Можно лишь преклоняться перед гением Марины Цветаевой (1) создавшей совершенно неповторимый поэтический мир (2) и (3) свято верившей (4) в свою музу.;Можно лишь преклоняться перед гением Марины Цветаевой, создавшей совершенно неповторимый поэтический мир и свято верившей в свою музу.;17;['(1)']
41;На картине будут лишь (1) омытый дождём (2) мокрый луг под огромным небом, несколько деревьев да (3) бегущие по влажной траве (4) тени сизых туч (5) гонимых ветром.;На картине будут лишь омытый дождём мокрый луг под огромным небом, несколько деревьев да бегущие по влажной траве тени сизых туч, гонимых ветром.;17;['(5)']
42;В мире не счесть мастеров-виртуозов (1) артистично владеющих (2) рисунком, живописью, композицией и (3) создающих (4) великолепные полотна.;В мире не счесть мастеров-виртуозов, артистично владеющих рисунком, живописью, композицией и создающих великолепные полотна.;17;['(1)']
43;В жёстких и густых волосах у него не было ни сединки, и он (1) держа осколок зеркала перед собой (2) прошёлся туда и обратно по землянке (3) слегка пританцовывая (4) и (5) оставив на столе всё как было (6) выскочил на улицу.;В жёстких и густых волосах у него не было ни сединки, и он, держа осколок зеркала перед собой, прошёлся туда и обратно по землянке, слегка пританцовывая, и, оставив на столе всё как было, выскочил на улицу.;17;['(1)', '(2)', '(3)', '(4)', '(5)', '(6)']
44;В Киеве на высокой горе на берегу Днепра установлен памятник (1) князю Владимиру (2) во времена княжения (3) которого (4) состоялось крещение Руси.;В Киеве на высокой горе на берегу Днепра установлен памятник князю Владимиру, во времена княжения которого состоялось крещение Руси.;19;['(2)']
45;Перед нами открылся великолепный вид: река вьётся (1) тускло синея сквозь туманную даль (2) по водянисто-зелёным лугам, и человек (3) охваченный светлым дыханием весны (4) крепнет, вольнее ему дышится, радостнее у него на душе.;Перед нами открылся великолепный вид: река вьётся, тускло синея сквозь туманную даль, по водянисто-зелёным лугам, и человек, охваченный светлым дыханием весны, крепнет, вольнее ему дышится, радостнее у него на душе.;17;['(1)', '(2)', '(3)', '(4)']
46;В Крыму Васильев подолгу любовался горами (1) устремлёнными к солнцу (2) и (3) окутанными розовой дымкой (4) деревьями.;В Крыму Васильев подолгу любовался горами, устремлёнными к солнцу, и окутанными розовой дымкой деревьями.;17;['(1)', '(2)']
;В лесу (1) к радости (2) мы сорвали несколько гроздей схваченной морозом рябины. Это была (3) пожалуй (4) последняя память о лете, об осени.;В лесу, к радости, мы сорвали несколько гроздей схваченной морозом рябины. Это была, пожалуй, последняя память о лете, об осени.;18;['(1)', '(2)', '(3)', '(4)']
;В липовой аллее печально шелестела под ногами прошлогодняя листва, и в тихих сумерках (1) казалось (2) прятались тени. И вдруг на миг от этой картины повеяло очарованием (3) как будто (4) чего-то очень знакомого, близкого с детства.;В липовой аллее печально шелестела под ногами прошлогодняя листва, и в тихих сумерках, казалось, прятались тени. И вдруг на миг от этой картины повеяло очарованием как будто чего-то очень знакомого, близкого с детства.;18;['(1)', '(2)']
51;В настоящее время рассматривается возможность использования айсбергов Антарктики для получения пресной воды (1) дефицит (2) которой (3) вскоре может охватить две трети жителей Земли.;В настоящее время рассматривается возможность использования айсбергов Антарктики для получения пресной воды, дефицит которой вскоре может охватить две трети жителей Земли.;19;['(1)']
52;В ненастье сосны стонут, и их ветки (1) сгибаемые порывами разъярённого ветра (2) трещат (3) иногда царапая (4) иглами по коре дерева.;В ненастье сосны стонут, и их ветки, сгибаемые порывами разъярённого ветра, трещат, иногда царапая иглами по коре дерева.;17;['(1)', '(2)', '(3)']
;В неприбранном, в безлистном и бестравном лесу цветы медуницы (1) словно (2) дивная сказка. В следующую весну (3) может быть (4) я пойду в лес не ради грибов, но ради того, чтобы взглянуть на цветущие медуницы.;В неприбранном, в безлистном и бестравном лесу цветы медуницы словно дивная сказка. В следующую весну, может быть, я пойду в лес не ради грибов, но ради того, чтобы взглянуть на цветущие медуницы.;18;['(3)', '(4)']
55;В общем-то (1) никогда не поздно взяться за дело собственными силами, и тогда достичь нужного результата (2) вполне (3) возможно.;В общем-то, никогда не поздно взяться за дело собственными силами, и тогда достичь нужного результата вполне возможно.;18;['(1)']
56;В первую минуту я не мог сообразить (1) где я (2) и что со мной (3) и отчего мне трудно двигаться с места.;В первую минуту я не мог сообразить, где я, и что со мной, и отчего мне трудно двигаться с места.;19;['(1)', '(2)', '(3)']
57;В последующие годы (1) поэт будет часто встречаться со школьным другом (2) мнение (3) которого (4) ему небезразлично.;В последующие годы поэт будет часто встречаться со школьным другом, мнение которого ему небезразлично.;19;['(2)']
58;В поэме Гоголя «Мёртвые души» (1) Чичиков не единственный персонаж (2) история жизни (3) которого (4) даётся во всех деталях.;В поэме Гоголя «Мёртвые души» Чичиков не единственный персонаж, история жизни которого даётся во всех деталях.;19;['(2)']
59;В праздники женщины (1) собравшись кружками (2) сидели в белых платках (3) повязанных на голову (4) на земле и завалинках хат, в тени от косых лучей солнца, и степенно разговаривали.;В праздники женщины, собравшись кружками, сидели в белых платках, повязанных на голову, на земле и завалинках хат, в тени от косых лучей солнца, и степенно разговаривали.;17;['(1)', '(2)', '(3)', '(4)']
60;В работе у него было два состояния: или восторженное (1) когда что-то получается (2) или кисло-истерическое (3) когда не клеится (4) и (5) если для Иваныча главным было сделать так (6) чтоб не пришлось переделывать (7) то для Серёжки главным было побыстрей освободиться.;В работе у него было два состояния: или восторженное, когда что-то получается, или кисло-истерическое, когда не клеится, и если для Иваныча главным было сделать так, чтоб не пришлось переделывать, то для Серёжки главным было побыстрей освободиться.;20;['(1)', '(2)', '(3)', '(4)', '(6)', '(7)']
61;Поздоровавшись с Дмитрием (1) и (2) передав ему посылку (3) крепко перевязанную бечёвкой (4) гость тут же удалился.;Поздоровавшись с Дмитрием и передав ему посылку, крепко перевязанную бечёвкой, гость тут же удалился.;17;['(3)', '(4)']
62;В родительском доме всё было по-прежнему (1) и (2) если Володе казалось домашнее пространство как будто сузившимся (3) то это только оттого (4) что за годы отсутствия он очень повзрослел и вырос.;В родительском доме всё было по-прежнему, и если Володе казалось домашнее пространство как будто сузившимся, то это только оттого, что за годы отсутствия он очень повзрослел и вырос.;20;['(1)', '(3)', '(4)']
63;В русской литературе (1) начало (2) которой исчисляется (3) со второй половины X века (4) сформировалось представление о единстве мира и его истории.;В русской литературе, начало которой исчисляется со второй половины X века, сформировалось представление о единстве мира и его истории.;19;['(1)', '(4)']
64;В садах романтического стиля (1) невозможно обойтись без дорожек из натурального камня (2) естественность (3) которых (4) подчёркивает поселившийся между камнями мох.;В садах романтического стиля невозможно обойтись без дорожек из натурального камня, естественность которых подчёркивает поселившийся между камнями мох.;19;['(2)']
65;В святые дни женщины (1) собравшись кружками (2) в белых платках (3) повязанных на голову (4) сидели на земле и завалинках хат, в тени от косых лучей солнца, и степенно разговаривали.;В святые дни женщины, собравшись кружками, в белых платках, повязанных на голову, сидели на земле и завалинках хат, в тени от косых лучей солнца, и степенно разговаривали.;17;['(1)', '(2)', '(3)', '(4)']
66;В стихотворении (1) Пушкин вспоминает своё двухлетнее изгнание и няню (2) шагов (3) которой (4) он уже никогда не услышит.;В стихотворении Пушкин вспоминает своё двухлетнее изгнание и няню, шагов которой он уже никогда не услышит.;19;['(2)']
67;Поприветствовав гостей (1) прибывших на борт катера (2) коротким кивком (3) и попросив их надеть спасательные жилеты (4) молодой человек завёл двигатель.;Поприветствовав гостей, прибывших на борт катера, коротким кивком и попросив их надеть спасательные жилеты, молодой человек завёл двигатель.;17;['(1)', '(2)', '(4)']
68;Катя немного помолчала (1) глядя на пламя в камине (2) и (3) весело взглянув на меня (4) заговорила опять.;Катя немного помолчала, глядя на пламя в камине, и, весело взглянув на меня, заговорила опять.;17;['(1)', '(2)', '(3)', '(4)']
69;В том небольшом ущелье (1) по словам Игоря (2) было так узко, что (3) казалось (4) даже сердцу в груди становилось тесно.;В том небольшом ущелье, по словам Игоря, было так узко, что, казалось, даже сердцу в груди становилось тесно.;18;['(1)', '(2)', '(3)', '(4)']
70;В тот день мы завтракали втроём (1) и (2) когда подали вишневый кисель (3) сестра капризно сказала (4) что десерт сегодня невкусный.;В тот день мы завтракали втроём, и, когда подали вишневый кисель, сестра капризно сказала, что десерт сегодня невкусный.;20;['(1)', '(2)', '(3)', '(4)']
71;Одним из самых известных произведений Рафаэля является (1) созданный в начале шестнадцатого века (2) алтарный образ «Обручение Марии» (3) написанный, возможно, ещё в период пребывания Рафаэля в мастерской Перуджино (4) и относящийся к раннему периоду творчества художника.;Одним из самых известных произведений Рафаэля является созданный в начале шестнадцатого века алтарный образ «Обручение Марии», написанный, возможно, ещё в период пребывания Рафаэля в мастерской Перуджино и относящийся к раннему периоду творчества художника.;17;['(3)']
72;В числе чудаков (1) живших в Москве в грибоедовские времена (2) был человек (3) описанный в комедии «Горе от ума» под именем (4) Максима Петровича.;В числе чудаков, живших в Москве в грибоедовские времена, был человек, описанный в комедии «Горе от ума» под именем Максима Петровича.;17;['(1)', '(2)', '(3)']
;В этом году (1) к удивлению орнитологов (2) гуси прилетели на гнездование на две недели раньше положенного срока. На поведении птиц (3) вероятно (4) сказалась аномально тёплая весна.;В этом году, к удивлению орнитологов, гуси прилетели на гнездование на две недели раньше положенного срока. На поведении птиц, вероятно, сказалась аномально тёплая весна.;18;['(1)', '(2)', '(3)', '(4)']
75;В XIX веке в России между чинами титулярного советника и коллежского асессора (1) разверзалась бездна (2) мостом (3) через которую (4) служил университетский или лицейский диплом.;В XIX веке в России между чинами титулярного советника и коллежского асессора разверзалась бездна, мостом через которую служил университетский или лицейский диплом.;19;['(2)']
76;Валерий Викторович (1) естественно (2) отрицает свою причастность к произошедшему и (3) похоже (4) не согласится сотрудничать с аудиторами.;Валерий Викторович, естественно, отрицает свою причастность к произошедшему и, похоже, не согласится сотрудничать с аудиторами.;18;['(1)', '(2)', '(3)', '(4)']
77;Отец (1) не глядя на меня (2) и не отвечая на моё приветствие (3) указал на (4) стоящее у окна (5) кресло.;Отец, не глядя на меня и не отвечая на моё приветствие, указал на стоящее у окна кресло.;17;['(1)', '(3)']
78;Валерий Петрович (1) к мнению (2) которого (3) прислушивались почти все сотрудники отдела (4) посоветовал нам отказаться от досрочных испытаний разрабатываемого устройства.;Валерий Петрович, к мнению которого прислушивались почти все сотрудники отдела, посоветовал нам отказаться от досрочных испытаний разрабатываемого устройства.;19;['(1)', '(4)']
79;Валовой внутренний продукт является тем показателем (1) на основании (2) которого (3) производится подразделение стран на развитые и развивающиеся.;Валовой внутренний продукт является тем показателем, на основании которого производится подразделение стран на развитые и развивающиеся.;19;['(1)']
80;Иван (1) сгорбившись (2) стоял с (3) ничего не выражающим (4) лицом и всё время держал трясущуюся руку у козырька фуражки.;Иван, сгорбившись, стоял с ничего не выражающим лицом и всё время держал трясущуюся руку у козырька фуражки.;17;['(1)', '(2)']
81;Аркадий встал и быстро удалился (1) как бы испугавшись (2) слов (3) сорвавшихся (4) у него с языка.;Аркадий встал и быстро удалился, как бы испугавшись слов, сорвавшихся у него с языка.;17;['(1)', '(3)']
82;Художники-романтики (1) отвергнув строгие и не допускающие отступлений принципы классицизма (2) показали людям многообразие и неповторимость (3) окружающего их (4) мира.;Художники-романтики, отвергнув строгие и не допускающие отступлений принципы классицизма, показали людям многообразие и неповторимость окружающего их мира.;17;['(1)', '(2)']
83;Путешественники лежали (1) укрывшись пледами (2) глядя на небо (3) или (4) сладко подремывая.;Путешественники лежали, укрывшись пледами, глядя на небо или сладко подремывая.;17;['(1)', '(2)']
84;Вам (1) по-моему (2) следует (3) всё-таки (4) проконсультироваться перед проведением эксперимента с работниками лаборатории.;Вам, по-моему, следует всё-таки проконсультироваться перед проведением эксперимента с работниками лаборатории.;18;['(1)', '(2)']
85;Василий вошёл в многолюдный парк (1) и (2) хотя он понимал (3) что не всё в его жизни на сегодняшний день идёт гладко (4) но сегодня ему хотелось улыбаться (5) и думать только о хорошем.;Василий вошёл в многолюдный парк, и хотя он понимал, что не всё в его жизни на сегодняшний день идёт гладко, но сегодня ему хотелось улыбаться и думать только о хорошем.;20;['(1)', '(3)', '(4)']
