original;corrected
А мать всё рассказывала и рассказывала о своём счастье (1) и (2) хотя слова её были самыми обыкновенными (3) у Вероники вдруг сладко защемило сердце (4) будто и оно отозвалось на нечаянное счастье.;А мать всё рассказывала и рассказывала о своём счастье NUM и NUM хотя слова её были самыми обыкновенными NUM у Вероники вдруг сладко защемило сердце NUM будто и оно отозвалось на неожиданное счастье.
Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд NUM густо заросший кувшинками NUM располагался NUM в удалённой от дома NUM части старого дендрария.
Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд NUM густо заросший кувшинками NUM располагался NUM в удалённой от дома NUM территории старого парка.
Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд NUM густо заросший кувшинками NUM располагался NUM в удалённой от дома NUM части старого заповедника.
Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд NUM густо заросший кувшинками NUM располагался NUM в удалённой от дома NUM части старого дендропарка.
Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд NUM густо заросший кувшинками NUM располагался NUM в удалённой от дома NUM части старого лесопарка.
Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд NUM густо заросший кувшинками NUM располагался NUM в удалённой от особнячка NUM части старого парка.
Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд NUM густо заросший кувшинками NUM располагался NUM в удалённой от дома NUM оконечности старого парка.
Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд NUM густо заросший кувшинками NUM располагался NUM в удалённой от дома NUM части старого сада.
Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд NUM густо заросший кувшинками NUM располагался NUM в удалённой от дома NUM части старого променада.
А старушка всё говорила о счастье (1) и (2) хотя слова её были привычными (3) но у внука от них щемило сердце (4) словно всё услышанное происходило с ним.;А старушка всё говорила о счастье NUM и NUM хотя слова её были привычными NUM но у прадеда от них щемило сердце NUM словно всё услышанное происходило с ним.
А старушка всё говорила о счастье (1) и (2) хотя слова её были привычными (3) но у внука от них щемило сердце (4) словно всё услышанное происходило с ним.;А старушка всё говорила о счастье NUM и NUM хотя слова её были привычными NUM но у внука от них щемило сердце NUM словно всё услышанное происходило с ним.
А старушка всё говорила о счастье (1) и (2) хотя слова её были привычными (3) но у внука от них щемило сердце (4) словно всё услышанное происходило с ним.;А старушка всё говорила о счастье NUM и NUM хотя слова её были обычными NUM но у внука от них щемило сердце NUM словно всё услышанное происходило с ним.
А старушка всё говорила о счастье (1) и (2) хотя слова её были привычными (3) но у внука от них щемило сердце (4) словно всё услышанное происходило с ним.;А старушка всё говорила о счастье NUM и NUM хотя слова её были привычными NUM но у внука от них щемило чувство NUM словно всё услышанное происходило с ним.
А старушка всё говорила о счастье (1) и (2) хотя слова её были привычными (3) но у внука от них щемило сердце (4) словно всё услышанное происходило с ним.;А старушка всё говорила о счастье NUM и NUM хотя слова её были привычными NUM но у деда от них щемило сердце NUM словно всё услышанное происходило с ним.
А старушка всё говорила о счастье (1) и (2) хотя слова её были привычными (3) но у внука от них щемило сердце (4) словно всё услышанное происходило с ним.;А старушка всё говорила о счастье NUM и NUM хотя слова её были привычными NUM но у отца от них щемило сердце NUM словно всё услышанное происходило с ним.
А уже через час оба сидели за шатким столиком (1) и (2) упираясь друг в друга головами (3) читали длинный список драгоценностей (4) некогда принадлежавших тёще Ипполита Матвеевича.;А уже через час оба сидели за шатким столиком NUM и NUM упираясь друг в друга головами NUM читали длинный список драгоценностей NUM некогда принадлежавших тёще Ипполита феоктистовича.
А уже через час оба сидели за шатким столиком (1) и (2) упираясь друг в друга головами (3) читали длинный список драгоценностей (4) некогда принадлежавших тёще Ипполита Матвеевича.;А уже через час оба сидели за шатким столиком NUM и NUM упираясь друг в друга головами NUM читали длинный список драгоценностей NUM некогда принадлежавших тёще евграфа Матвеевича.
А уже через час оба сидели за шатким столиком (1) и (2) упираясь друг в друга головами (3) читали длинный список драгоценностей (4) некогда принадлежавших тёще Ипполита Матвеевича.;А уже через час оба сидели за шатким столиком NUM и NUM упираясь друг в друга головами NUM читали длинный список драгоценностей NUM некогда принадлежавших тёще Ипполита Матвеевича.
А уже через час оба сидели за шатким столиком (1) и (2) упираясь друг в друга головами (3) читали длинный список драгоценностей (4) некогда принадлежавших тёще Ипполита Матвеевича.;А уже через час оба сидели за шатким столиком NUM и NUM упираясь друг в друга головами NUM читали длинный список драгоценностей NUM некогда принадлежавших тёще аристарха Матвеевича.
А уже через час оба сидели за шатким столиком (1) и (2) упираясь друг в друга головами (3) читали длинный список драгоценностей (4) некогда принадлежавших тёще Ипполита Матвеевича.;А уже через час оба сидели за шатким столиком NUM и NUM упираясь друг в друга головами NUM читали длинный список драгоценностей NUM некогда принадлежавших невестке Ипполита Матвеевича.
А. С. Пушкин (1) осуждает ложное понимание чести у героя (2) на совести (3) которого (4) множество загубленных жизней.;А. С. Пушкин NUM осуждает ложное понимание чести у злодея NUM на совести NUM которого NUM множество загубленных жизней.
А. С. Пушкин (1) осуждает ложное понимание чести у героя (2) на совести (3) которого (4) множество загубленных жизней.;А. С. Пушкин NUM осуждает ложное понимание чести у героя NUM на совести NUM которого NUM множество загубленных молодостей.
А. С. Пушкин (1) осуждает ложное понимание чести у героя (2) на совести (3) которого (4) множество загубленных жизней.;А. С. Пушкин NUM осуждает ложное познание чести у героя NUM на совести NUM которого NUM множество загубленных жизней.
А. С. Пушкин (1) осуждает ложное понимание чести у героя (2) на совести (3) которого (4) множество загубленных жизней.;А. С. Пушкин NUM осуждает лживое понимание чести у героя NUM на совести NUM которого NUM множество загубленных жизней.
А. С. Пушкин (1) осуждает ложное понимание чести у героя (2) на совести (3) которого (4) множество загубленных жизней.;А. С. Пушкин NUM осуждает ложное понимание чести у героя NUM на совести NUM которого NUM множество загубленных жизней.
А. С. Пушкин (1) осуждает ложное понимание чести у героя (2) на совести (3) которого (4) множество загубленных жизней.;А. С. Пушкин NUM осуждает ложное понимание чести у персонажа NUM на совести NUM которого NUM множество загубленных жизней.
А. С. Пушкин (1) осуждает ложное понимание чести у героя (2) на совести (3) которого (4) множество загубленных жизней.;А. С. Пушкин NUM осуждает ложное понимание чести у рассказчика NUM на совести NUM которого NUM множество загубленных жизней.
Австралийские учёные обнаружили небольшую планету, состоящую (1) вероятно (2) из кристаллического углерода и являющуюся (3) по их предположениям (4) алмазом.;Австралийские учёные обнаружили небольшую планету, состоящую NUM вероятно NUM из кристаллического углерода и являющуюся NUM по их предположениям NUM александритом.
Австралийские учёные обнаружили небольшую планету, состоящую (1) вероятно (2) из кристаллического углерода и являющуюся (3) по их предположениям (4) алмазом.;Австралийские учёные обнаружили небольшую планету, состоящую NUM вероятно NUM из кристаллического углерода и являющуюся NUM по их предположениям NUM сапфиром.
Австралийские учёные обнаружили небольшую планету, состоящую (1) вероятно (2) из кристаллического углерода и являющуюся (3) по их предположениям (4) алмазом.;Австралийские учёные обнаружили небольшую планету, состоящую NUM вероятно NUM из кристаллического углерода и являющуюся NUM по их предположениям NUM бриллиантом.
Австралийские учёные обнаружили небольшую планету, состоящую (1) вероятно (2) из кристаллического углерода и являющуюся (3) по их предположениям (4) алмазом.;Австралийские учёные обнаружили небольшую планету, состоящую NUM вероятно NUM из кристаллического углерода и являющуюся NUM по их предположениям NUM корундом.
Австралийские учёные обнаружили небольшую планету, состоящую (1) вероятно (2) из кристаллического углерода и являющуюся (3) по их предположениям (4) алмазом.;Австралийские учёные обнаружили небольшую планету, состоящую NUM вероятно NUM из кристаллического углерода и являющуюся NUM по их предположениям NUM лазуритом.
Австралийские учёные обнаружили небольшую планету, состоящую (1) вероятно (2) из кристаллического углерода и являющуюся (3) по их предположениям (4) алмазом.;Австралийские учёные обнаружили небольшую планету, состоящую NUM вероятно NUM из кристаллического кислорода и являющуюся NUM по их предположениям NUM алмазом.
Агрономы часто используют некоторые качества живых организмов в своих целях. Так (1) например (2) в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других (3) то есть (4) являются своеобразной биологической стражей.;Агрономы часто используют некоторые качества живых организмов в своих целях. Так NUM например NUM в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других NUM то есть NUM являются своеобразной биологической темницей.
Агрономы часто используют некоторые качества живых организмов в своих целях. Так (1) например (2) в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других (3) то есть (4) являются своеобразной биологической стражей.;Агрономы часто используют некоторые качества живых организмов в своих целях. Так NUM например NUM в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других NUM то есть NUM являются своеобразной ультраструктурной стражей.
Агрономы часто используют некоторые качества живых организмов в своих целях. Так (1) например (2) в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других (3) то есть (4) являются своеобразной биологической стражей.;Агрономы часто используют некоторые качества живых организмов в своих целях. Так NUM например NUM в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других NUM то есть NUM являются своеобразной биологической стражей.
Агрономы часто используют некоторые качества живых организмов в своих целях. Так (1) например (2) в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других (3) то есть (4) являются своеобразной биологической стражей.;Агрономы часто используют некоторые качества живых организмов в своих целях. Так NUM например NUM в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других NUM то есть NUM являются своеобразной биологической тюрьмой.
Агрономы часто используют некоторые качества живых организмов в своих целях. Так (1) например (2) в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других (3) то есть (4) являются своеобразной биологической стражей.;Агрономы часто используют некоторые качества живых организмов в своих целях. Так NUM например NUM в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других NUM то есть NUM являются своеобразной микробной стражей.
Агрономы часто используют некоторые качества живых организмов в своих целях. Так (1) например (2) в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других (3) то есть (4) являются своеобразной биологической стражей.;Агрономы часто используют некоторые качества живых организмов в своих целях. Так NUM например NUM в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других NUM то есть NUM являются своеобразной химической стражей.
Агрономы часто используют некоторые качества живых организмов в своих целях. Так (1) например (2) в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других (3) то есть (4) являются своеобразной биологической стражей.;Агрономы часто используют некоторые качества живых организмов в своих целях. Так NUM например NUM в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других NUM то есть NUM являются своеобразной физиологической стражей.
Агрономы часто используют некоторые качества живых организмов в своих целях. Так (1) например (2) в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других (3) то есть (4) являются своеобразной биологической стражей.;Агрономы часто используют некоторые качества живых организмов в своих целях. Так NUM например NUM в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других NUM то есть NUM являются своеобразной биофизической стражей.
Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;Ипполит Матвеевич NUM томясь стыдом NUM стоял под шелковицей и NUM не глядя на гуляющих NUM твердил три заученные фразы.
Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;Ипполит Матвеевич NUM томясь стыдом NUM стоял под сиренью и NUM не глядя на гуляющих NUM твердил три заученные фразы.
Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;Ипполит Матвеевич NUM томясь стыдом NUM стоял под акацией и NUM не глядя на гуляющих NUM твердил три заученные цитаты.
Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;аристарх Матвеевич NUM томясь стыдом NUM стоял под акацией и NUM не глядя на гуляющих NUM твердил три заученные фразы.
Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;Ипполит Матвеевич NUM томясь стыдом NUM стоял под акацией и NUM не глядя на гуляющих NUM твердил три заученные реплики.
Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;Ипполит Матвеевич NUM томясь стыдом NUM стоял под липой и NUM не глядя на гуляющих NUM твердил три заученные фразы.
Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;Ипполит феоктистович NUM томясь стыдом NUM стоял под акацией и NUM не глядя на гуляющих NUM твердил три заученные фразы.
Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;Ипполит Матвеевич NUM томясь стыдом NUM стоял под ивой и NUM не глядя на гуляющих NUM твердил три заученные фразы.
Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;евграф Матвеевич NUM томясь стыдом NUM стоял под акацией и NUM не глядя на гуляющих NUM твердил три заученные фразы.
Перелистывая страницы (1) принесённой из кабинета (2) книги (3) отец остановился у приоткрытой двери (4) прислушиваясь к разговору на кухне.;Перелистывая страницы NUM принесённой из кабинета NUM книги NUM отец остановился у приоткрытой двери NUM прислушиваясь к разговору на спальне.
Перелистывая страницы (1) принесённой из кабинета (2) книги (3) отец остановился у приоткрытой двери (4) прислушиваясь к разговору на кухне.;Перелистывая страницы NUM принесённой из кабинета NUM книги NUM отец остановился у приоткрытой дверки NUM прислушиваясь к разговору на кухне.
Перелистывая страницы (1) принесённой из кабинета (2) книги (3) отец остановился у приоткрытой двери (4) прислушиваясь к разговору на кухне.;Перелистывая страницы NUM принесённой из кабинета NUM книги NUM отец остановился у приоткрытой прихожей NUM прислушиваясь к разговору на кухне.
Перелистывая страницы (1) принесённой из кабинета (2) книги (3) отец остановился у приоткрытой двери (4) прислушиваясь к разговору на кухне.;Перелистывая страницы NUM принесённой из кабинета NUM книги NUM брат остановился у приоткрытой двери NUM прислушиваясь к разговору на кухне.
Перелистывая страницы (1) принесённой из кабинета (2) книги (3) отец остановился у приоткрытой двери (4) прислушиваясь к разговору на кухне.;Перелистывая страницы NUM принесённой из кабинета NUM книги NUM отец остановился у приоткрытой калитки NUM прислушиваясь к разговору на кухне.
Алексей Павлович вставал с ранней зарёй (1) и (2) когда он вдыхал напоённый влажным запахом росы прохладный воздух (3) на душе у него становилось (4) легко и просторно.;Алексей Павлович вставал с ранней зарёй NUM и NUM когда он вдыхал напоённый влажным запахом росы прохладный воздух NUM на любви у него становилось NUM легко и просторно.
Алексей Павлович вставал с ранней зарёй (1) и (2) когда он вдыхал напоённый влажным запахом росы прохладный воздух (3) на душе у него становилось (4) легко и просторно.;Алексей Павлович вставал с ранней зарёй NUM и NUM когда он вдыхал напоённый влажным запахом росы прохладный воздух NUM на душе у него становилось NUM легко и привольно.
Алексей Павлович вставал с ранней зарёй (1) и (2) когда он вдыхал напоённый влажным запахом росы прохладный воздух (3) на душе у него становилось (4) легко и просторно.;Алексей Павлович вставал с ранней зарёй NUM и NUM когда он вдыхал напоённый влажным запахом росы тёплый воздух NUM на душе у него становилось NUM легко и просторно.
Алексей Павлович вставал с ранней зарёй (1) и (2) когда он вдыхал напоённый влажным запахом росы прохладный воздух (3) на душе у него становилось (4) легко и просторно.;Алексей Павлович вставал с ранней зарёй NUM и NUM когда он вдыхал напоённый влажным запахом росы прохладный воздух NUM на душе у него становилось NUM легко и людно.
Алексей Павлович вставал с ранней зарёй (1) и (2) когда он вдыхал напоённый влажным запахом росы прохладный воздух (3) на душе у него становилось (4) легко и просторно.;Алексей Павлович вставал с ранней зарёй NUM и NUM когда он вдыхал напоённый влажным запахом росы прохладный воздух NUM на душе у него становилось NUM хорошо и просторно.
Алексей Павлович вставал с ранней зарёй (1) и (2) когда он вдыхал напоённый влажным запахом росы прохладный воздух (3) на душе у него становилось (4) легко и просторно.;Алексей Павлович вставал с ранней зарёй NUM и NUM когда он вдыхал напоённый влажным запахом росы прохладный ветер NUM на душе у него становилось NUM легко и просторно.
Алексей Павлович вставал с ранней зарёй (1) и (2) когда он вдыхал напоённый влажным запахом росы прохладный воздух (3) на душе у него становилось (4) легко и просторно.;Алексей Павлович вставал с ранней зарёй NUM и NUM когда он вдыхал напоённый влажным запахом росы прохладный воздух NUM на душе у него становилось NUM легко и вольготно.
Амбра (1) долго пробывшая в морской воде (2) или специально очищенная (3) имеет едва уловимый (4) запах жасмина.;Амбра NUM долго пробывшая в морской воде NUM или специально очищенная NUM имеет едва уловимый NUM привкус жасмина.
Амбра (1) долго пробывшая в морской воде (2) или специально очищенная (3) имеет едва уловимый (4) запах жасмина.;Амбра NUM долго пробывшая в морской воде NUM или нарочно очищенная NUM имеет едва уловимый NUM запах жасмина.
Амбра (1) долго пробывшая в морской воде (2) или специально очищенная (3) имеет едва уловимый (4) запах жасмина.;Амбра NUM долго пробывшая в морской воде NUM или специально очищенная NUM имеет едва слышимый NUM запах жасмина.
Амбра (1) долго пробывшая в морской воде (2) или специально очищенная (3) имеет едва уловимый (4) запах жасмина.;Амбра NUM долго пробывшая в морской воде NUM или специально очищенная NUM имеет легко уловимый NUM запах жасмина.
Амбра (1) долго пробывшая в морской воде (2) или специально очищенная (3) имеет едва уловимый (4) запах жасмина.;Амбра NUM долго пробывшая в морской воде NUM или специально очищенная NUM имеет едва различимый NUM запах жасмина.
Амбра (1) долго пробывшая в морской воде (2) или специально очищенная (3) имеет едва уловимый (4) запах жасмина.;Амбра NUM долго пробывшая в морской воде NUM или специально очищенная NUM имеет едва уловимый NUM аромат жасмина.
Амбра (1) долго пробывшая в морской воде (2) или специально очищенная (3) имеет едва уловимый (4) запах жасмина.;Амбра NUM долго пробывшая в морской воде NUM или специально очищенная NUM имеет настолько уловимый NUM запах жасмина.
Анастасия сказала (1) что трава – это зарастание памяти о человеке (2) и (3) что (4) пока есть кому с этой травою справляться (5) человек каким-то образом на земле ещё присутствует.;Анастасия сказала NUM что трава – это зарастание памяти о человеке NUM и NUM что NUM пока есть кому с этой травою справляться NUM человек каким-то элементом на земле ещё присутствует.
